Name,Ticker,Weight,Sector
Ameriprise Financial Inc.,AMP,0.084147,Financials
United Continental Holdings Inc.,UAL,0.083805,Industrials
Equifax Inc.,EFX,0.08351,Industrials
Rockwell Automation Inc.,ROK,0.082659,Industrials
Agilent Technologies Inc.,A,0.082115,Health Care
TransDigm Group Incorporated,TDG,0.081084,Industrials
Essex Property Trust Inc.,ESS,0.080398,Financials
Genuine Parts Company,GPC,0.080231,Consumer Discretionary
Fortive Corp.,FTV,0.080072,Industrials
Digital Realty Trust Inc.,DLR,0.079065,Financials
Fifth Third Bancorp,FITB,0.077726,Financials
Micron Technology Inc.,MU,0.077646,Information Technology
Northern Trust Corporation,NTRS,0.077497,Financials
Level 3 Communications Inc.,LVLT,0.077196,Telecommunication Services
Noble Energy Inc.,NBL,0.076579,Energy
Hess Corporation,HES,0.076431,Energy
Viacom Inc. Class B,VIAB,0.076374,Consumer Discretionary
Laboratory Corporation of America Holdings,LH,0.076051,Health Care
DENTSPLY SIRONA Inc.,XRAY,0.076012,Health Care
Whirlpool Corporation,WHR,0.075974,Consumer Discretionary
Lam Research Corporation,LRCX,0.075362,Information Technology
Linear Technology Corporation,LLTC,0.074187,Information Technology
Entergy Corporation,ETR,0.074184,Utilities
Ball Corporation,BLL,0.073835,Materials
FirstEnergy Corp.,FE,0.073604,Utilities
American Water Works Company Inc.,AWK,0.073231,Utilities
Marriott International Inc. Class A,MAR,0.07261,Consumer Discretionary
Henry Schein Inc.,HSIC,0.07226,Health Care
Host Hotels & Resorts Inc.,HST,0.072191,Financials
Autodesk Inc.,ADSK,0.071721,Information Technology
Red Hat Inc.,RHT,0.071657,Information Technology
Alcoa Inc.,AA,0.07164,Materials
Expedia Inc.,EXPE,0.071433,Consumer Discretionary
Mohawk Industries Inc.,MHK,0.071178,Consumer Discretionary
Symantec Corporation,SYMC,0.070495,Information Technology
Citrix Systems Inc.,CTXS,0.07035,Information Technology
Franklin Resources Inc.,BEN,0.06996,Financials
KeyCorp,KEY,0.069527,Financials
Xilinx Inc.,XLNX,0.069513,Information Technology
Church & Dwight Co. Inc.,CHD,0.069435,Consumer Staples
Kimco Realty Corporation,KIM,0.069094,Financials
Starwood Hotels & Resorts Worldwide Inc.,HOT,0.069059,Consumer Discretionary
Microchip Technology Incorporated,MCHP,0.068707,Information Technology
Alliance Data Systems Corporation,ADS,0.068359,Information Technology
Martin Marietta Materials Inc.,MLM,0.067931,Materials
Waters Corporation,WAT,0.067812,Health Care
Skyworks Solutions Inc.,SWKS,0.067153,Information Technology
Principal Financial Group Inc.,PFG,0.067011,Financials
Verisk Analytics Inc,VRSK,0.066483,Industrials
National Oilwell Varco Inc.,NOV,0.066123,Energy
W.W. Grainger Inc.,GWW,0.065762,Industrials
Ameren Corporation,AEE,0.065599,Utilities
Perrigo Co. Plc,PRGO,0.065299,Health Care
Fastenal Company,FAST,0.065004,Industrials
Citizens Financial Group Inc.,CFG,0.064794,Financials
CMS Energy Corporation,CMS,0.064721,Utilities
Republic Services Inc.,RSG,0.064664,Industrials
Invesco Ltd.,IVZ,0.064551,Financials
Advance Auto Parts Inc.,AAP,0.0645,Consumer Discretionary
Western Digital Corporation,WDC,0.064377,Information Technology
Quest Diagnostics Incorporated,DGX,0.064007,Health Care
Masco Corporation,MAS,0.063791,Industrials
Cimarex Energy Co.,XEC,0.063351,Energy
Centene Corporation,CNC,0.063307,Health Care
Acuity Brands Inc.,AYI,0.062868,Industrials
Marathon Oil Corporation,MRO,0.062791,Energy
Regions Financial Corporation,RF,0.062779,Financials
EQT Corporation,EQT,0.062461,Energy
